NAME,YEAR,AREA
ENGABREEN,1975,38.02
ENGABREEN,1980,32.02
ENGABREEN,2008,38.74
ENSOMHEDEN NORTHEAST,2002,10.59
ERASMO,1979,52.96
ERASMO,2011,42.07
ERCIYES,1950,0.05
ERDALSBREEN,1975,11.0
ESPERANZA NORTE,1951,11.6
ESPERANZA NORTE,2007,10.76
ESTELLETTE,1975,0.54
ESTRECHO,1976,1.65
ESTRECHO,2010,1.25
EUROPA,1986,403.0
EVANS,1978,2.79
EVEQUE,1975,0.24
EXCELSIOR,1950,129.59
EXPLORADORES,1974,121.1
EYJABAKKAJOEKULL,1981,120.0
EYJABAKKAJOEKULL,1995,109.0
EYJABAKKAJOEKULL,2008,110.0
FAABERGSTOELSBREEN,1975,17.4
FAABERGSTOELSBREEN,1980,15.0
FAIR,1975,0.15
FALLJOEKULL,1995,8.0
FARALLON,1987,0.08
FEDCHENKO,1950,156.0
FEE NORTH,1973,16.66
FEE NORTH,1975,16.66
FELLARIA OCC.,1975,5.0
FELLARIA OCC.,1980,5.09
FENSAL NORTH,2002,3.65
FERDINANDBREEN,1950,1.6
FERNAU F.,1969,1.89
FERNAU F.,1975,2.02
FERPECLE,1973,9.79
FERPECLE,1975,9.79
FIERO,1974,46.0
FIESCHER,1973,33.06
FIESCHER,1975,33.06
FILLECK K.,1975,0.13
FILLECK K.,1980,0.16
FINDELEN,1973,19.09
FINDELEN,1975,19.09
FINGER,1964,42.0
FIRMISAN F.,1997,0.75
FIRNALPELI,1973,1.18
FIRNALPELI,1975,1.18
FISHT,1950,0.9
FITZGERALD (GOD),1978,1.05
FITZGERALD (KAR),1978,0.36
FJALLSJOEKULL BY GAMLASEL,1995,48.0
FJALLSJOEKULL FITJAR,1995,48.0
FLAAJOEKULL,1971,230.0
FLAAJOEKULL,1975,230.0
FLAAJOEKULL,1995,180.0
FLAAJOEKULL E 148,2010,180.0
FLEUR D.NEIGES,1978,0.44
FLOOD,1980,11.0
FOG,1978,0.28
FOND OR.,1975,1.15
FONTANA BIANCA / WEISSBRUNNF.,1980,0.75
FONTANA BIANCA / WEISSBRUNNF.,1996,0.66
FONTANA BIANCA / WEISSBRUNNF.,1997,0.62
FONTANA BIANCA / WEISSBRUNNF.,2008,0.43
FONTANA BIANCA / WEISSBRUNNF.,2009,0.43
FONTANA OCC. (VEDR. DELLA) / FREIBRUNNER F.,1975,1.14
FONTANA OCC. (VEDR. DELLA) / FREIBRUNNER F.,1980,1.1
FORCA,1975,1.04
FOREL,1975,0.03
FOREL,1987,0.01
FOREL,1993,0.01
FOREL,2004,0.01
FORGOTTEN COL,1978,0.6
FORNI,1900,13.2
FORNI,1975,20.0
FORNO,1973,8.77
FORNO,1975,8.77
FORREST KERR,1981,99.2
FOSS,1999,0.4
FOSSA OR.,1975,0.32
FOSSA OR.,1980,0.3
